Document_Index,Assigned_Topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28
33,-1,0.09746798570115234,5.3228211123498164e-198,7.562655273286057e-199,0.00598132535072954,3.2703162538053216e-198,0.006009142040996086,1.995131471600996e-198,3.808154993523283e-198,3.3384302499327967e-198,0.0476166035819508,4.5612440926185055e-198,0.04307431767544831,1.3580466274902734e-198,0.021162842628621607,5.55721065573449e-199,2.990663658507377e-199,1.095459383289606e-199,9.009510799807972e-199,1.650326801895366e-194,1.372407200642961e-198,0.01780550502750581,0.015055951841906254,2.887850773406961e-194,0.007451801144043326,1.981137022677007e-197,2.587130011127349e-199,2.040328101995983e-201,0.005396848885034742,4.581432420195874e-199
34,4,0.06304534628142333,0.038219791343518314,0.024776264705525276,0.053682189125611825,0.04331775990971469,0.04305269122152999,0.016108727321168817,0.02537225744946449,0.019055373819678603,0.02775102003784542,0.03342881955252927,0.025718258189467012,0.009389842562895162,0.009807670192007532,0.019930532158177604,0.009327903435503703,0.004383362989571239,0.005691038935163447,0.010279706273338641,0.01197959655789296,0.007221392289497889,0.01468570606091378,0.010172219681699707,0.008300595008844908,0.007224561230160844,0.004679521517280445,0.0005329857548980411,0.0036614093681138285,0.0032690287365492515
35,-1,0.013027570393572364,1.5321509910411105e-28,5.0187893213101765e-33,0.0012683220542008952,1.5951985695823528e-25,0.0007454038245856405,5.99260707456989e-29,1.2121778366553177e-28,9.790346474604275e-29,0.0047042639875022035,1.4333343777216236e-28,0.004365001580815129,4.1934321134555066e-29,0.00164296298209757,3.738870195843941e-33,1.9728910411929977e-33,1.6477474270891442e-34,2.801868251567063e-29,0.001535985151545949,4.5148718358111245e-29,0.0015185663358287338,0.0017564138633477172,0.002013517123898729,0.0006521677185881571,0.0010036443283779623,8.297050165580968e-32,4.167174471592074e-37,0.0006931633738898623,1.443621067145032e-29
36,-1,0.022694357178814253,0.02688042014345019,2.992032840328204e-29,0.04560439373737975,0.004878457234286043,0.015901428764824616,0.008946974399464916,0.02109701069914844,0.01194331586008364,0.008978839606890032,0.01650172667035332,0.009651679814608615,0.00546266795581152,0.005690470004918508,1.964505743870863e-29,9.19908755777035e-30,2.9769799849667506e-32,0.004576336258988108,0.002928408337333628,0.005611786045050662,0.003258609404450208,0.004450721486776731,0.004652180443699574,0.00376359628160891,0.002690648325651576,3.2375523100052775e-16,8.117796597441474e-36,0.0013468405982745178,0.0022694063615922608
37,1,0.00038218153271579063,0.8228376080280991,0.0002824032324170936,0.0017804694305801959,7.635279083132125e-05,0.0004449569170756631,0.00038528316078638864,0.0013540801671147909,0.00042342224628362675,0.0001957207382039366,0.0004987325262700032,0.00016104335812189787,0.0001570076679458507,0.00021369802535087484,0.0001686913461799903,7.669096413400184e-05,4.683507713372007e-05,0.0003382372329404313,7.471752264744824e-05,8.534040763257805e-05,5.328453835815887e-05,7.362520899956715e-05,7.747580736375314e-05,0.00011019065476049781,4.698516485800254e-05,5.1594195494214974e-05,5.516430997181024e-06,2.260106517231397e-05,8.691990330162339e-05
38,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999985118296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999985867596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,13,0.042736633328081954,0.015092438860140662,0.010400060853247982,0.021347135392351245,0.0036944157589318192,0.013932818608109028,0.0053008025108329145,0.009074267200132964,0.007897863657455878,0.020589265669971702,0.010410184081626233,0.018674408373371146,0.003140449349244745,0.7567207170833553,0.007459851162584827,0.004005579122327461,0.0028148900603293756,0.0021557285418562153,0.005959839647637268,0.003135421640179421,0.009813294276776099,0.005611351619205745,0.007984438183012671,0.0036534684806205733,0.0023893878077776414,0.0020653256757880954,0.00039921733442934207,0.002471502910330695,0.0010692416169586294
41,2,9.305481777091649e-05,0.0001057564653213437,0.9990487136979515,9.859647466376058e-05,1.8379424997847754e-05,8.352915257921385e-05,3.235209363028287e-05,6.078040129145104e-05,3.584097730683169e-05,4.420341416637596e-05,5.668422115750257e-05,3.6731147395068194e-05,1.6626047724181228e-05,1.8026585244631786e-05,6.292465412793862e-05,2.696650423985086e-05,1.249219452014837e-05,1.2802835431832848e-05,1.720124057878712e-05,2.080932361723968e-05,1.1108206592998196e-05,1.891412198873626e-05,1.5941882078330003e-05,1.168630150724548e-05,1.370341731801636e-05,1.1494512848049508e-05,2.8385175611213477e-06,5.599391789247676e-06,6.24103283922865e-06
42,-1,2.753628577190089e-06,0.024982065301520296,0.195896886534522,3.4521626951924226e-06,5.678408694671766e-07,0.014926512367068785,1.1320526409275196e-06,2.5437942120348557e-06,1.24225008903881e-06,1.3085376407191841e-06,1.8421062981721195e-06,1.1239459339189382e-06,5.627006815941353e-07,6.33685583792566e-07,3.032030657865608e-06,1.30045824273357e-06,2.7481683688773985e-07,5.06989658784149e-07,5.395645514550762e-07,6.920442702247637e-07,3.53150652513426e-07,5.518850796520531e-07,5.093765717841047e-07,3.842854509901305e-07,3.6693814525437153e-07,3.346726840168928e-07,1.4337661541426496e-08,1.6490846570195124e-07,2.2190988965465784e-07
